*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=b-car_rev1
*Date=14:18:55
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
200;;;68.6294;-4.28467;0;Bottom;Via48
201;;;25.4495;-16.9845;0;Bottom;Via13
202;;;11.4808;-42.38;0;Bottom;Copper Fill42
203;;;26.2382;-9.4235;0;Bottom;Copper Fill97
204;;;59.2582;-11.9635;0;Bottom;Copper Fill23
205;;;7.54284;-42.5601;90;Bottom;TXT1
206;;;12.7494;-44.9247;0;Bottom;Via32
207;;;5.12936;-44.9247;0;Bottom;Via36
208;;;30.6118;-9.72178;0;Bottom;TXT1
209;;;64.8208;-13.17;0;Bottom;Copper Fill78
210;;;61.0778;-9.28231;0;Bottom;TXT1
211;;;50.8212;-13.8071;0;Bottom;TXT1
212;47k;THT;12.7494;-9.36467;0;Bottom;R1
213;47k;THT;71.1694;-11.9047;0;Bottom;R1
